F1717 Note: Use distance between fixtures as endpoint, NOT distance between test blocks (rotation of the test blocks causes the test to run past the distance between test blocks)

F2077 Note: use distance between test blocks as endpoint
"Time","Sequence","Block","Cycle","Position mm","Load N","Exp_PreLoad Volts"
0.,1,1,,-22.059992,-14.343858,-4.8742998
0.004,1,1,,-22.059113,-13.847649,-4.8733115
0.008,1,1,,-22.059256,-14.099479,-4.8736411
0.012,1,1,,-22.060085,-13.98176,-4.8749745
0.016,1,1,,-22.058955,-14.075637,-4.8748469
0.02,1,1,,-22.059486,-13.890862,-4.8738205
0.024,1,1,,-22.059134,-13.458729,-4.8735791
0.028,1,1,,-22.059834,-14.24849,-4.8730326
0.032,1,1,,-22.059256,-14.351308,-4.8743826
0.036,1,1,,-22.058508,-15.167892,-4.8754638
0.04,1,1,,-22.059116,-15.127659,-4.8742372
0.044,1,1,,-22.059861,-15.737116,-4.8754179
0.048,1,1,,-22.060117,-16.435981,-4.874959
0.052,1,1,,-22.061837,-17.468631,-4.8740679
0.056,1,1,,-22.060967,-19.63824,-4.8752511
0.06,1,1,,-22.063211,-23.624301,-4.8741198
0.064,1,1,,-22.065208,-28.74881,-4.8746711
0.068,1,1,,-22.067461,-35.756826,-4.8748672
0.072,1,1,,-22.071508,-46.145916,-4.8744667
0.076,1,1,,-22.073141,-55.633485,-4.87472
0.08,1,1,,-22.075787,-62.194467,-4.8741937
0.084,1,1,,-22.076774,-65.57554,-4.8746282
0.088,1,1,,-22.078204,-65.661967,-4.8743761
0.092,1,1,,-22.079197,-66.913664,-4.8760438
0.096,1,1,,-22.079972,-65.305829,-4.8742694
0.1,1,1,,-22.079522,-64.4207,-4.8732847
0.104,1,1,,-22.079414,-63.748658,-4.8746455
0.108,1,1,,-22.079751,-62.951446,-4.8748475
0.112,1,1,,-22.079888,-63.498318,-4.873777
0.116,1,1,,-22.07945,-62.379241,-4.8743713
0.12,1,1,,-22.079715,-62.356889,-4.8755413
0.124,1,1,,-22.080058,-62.716007,-4.8743099
0.128,1,1,,-22.079057,-63.507259,-4.873907
0.132,1,1,,-22.079823,-65.089762,-4.8757285
0.136,1,1,,-22.080776,-67.038834,-4.8746914
0.14,1,1,,-22.083044,-70.145726,-4.8735231
0.144,1,1,,-22.084284,-71.182847,-4.8746824
0.148,1,1,,-22.086001,-73.108077,-4.8751354
0.152,1,1,,-22.08688,-73.78906,-4.8738265
0.156,1,1,,-22.089267,-74.918568,-4.8753017
0.16,1,1,,-22.090048,-75.978041,-4.8750448
0.164,1,1,,-22.091171,-77.739358,-4.8743421
0.168,1,1,,-22.093174,-78.868866,-4.8730069
0.172,1,1,,-22.093895,-80.147386,-4.8742598
0.176,1,1,,-22.092954,-81.424415,-4.8742115
0.18,1,1,,-22.095302,-82.790852,-4.8741722
0.184,1,1,,-22.095135,-84.166229,-4.8762274
0.188,1,1,,-22.097555,-85.067749,-4.8758191
0.192,1,1,,-22.097603,-85.791945,-4.8738635
0.196,1,1,,-22.098676,-87.490678,-4.8744178
0.2,1,1,,-22.099021,-89.57684,-4.8761642
0.204,1,1,,-22.099781,-89.025497,-4.8745126
0.208,1,1,,-22.100896,-89.406967,-4.8750359
0.212,1,1,,-22.099638,-90.199709,-4.8755181
0.216,1,1,,-22.101251,-90.326369,-4.8742443
0.22,1,1,,-22.101367,-90.515614,-4.8750395
0.224,1,1,,-22.100935,-91.917813,-4.875614
0.228,1,1,,-22.101489,-92.051923,-4.8745507
0.232,1,1,,-22.10154,-93.704462,-4.8745984
0.236,1,1,,-22.102022,-94.604492,-4.8734462
0.24,1,1,,-22.103536,-95.85917,-4.8747134
0.244,1,1,,-22.106251,-98.524988,-4.8749244
0.248,1,1,,-22.106511,-102.33372,-4.8743123
0.252,1,1,,-22.10705,-103.62864,-4.8735487
0.256,1,1,,-22.108627,-106.54181,-4.8750883
0.26,1,1,,-22.110448,-108.04087,-4.8743224
0.264,1,1,,-22.111258,-111.12988,-4.8735505
0.268,1,1,,-22.112108,-114.34406,-4.8740178
0.272,1,1,,-22.113046,-116.79977,-4.8740405
0.276,1,1,,-22.113592,-118.79802,-4.8742801
0.28,1,1,,-22.115875,-121.22691,-4.8740572
0.284,1,1,,-22.116009,-123.17002,-4.8747396
0.288,1,1,,-22.117195,-123.89123,-4.87463
0.292,1,1,,-22.118122,-125.736,-4.8748052
0.296,1,1,,-22.118417,-127.69699,-4.8745298
0.3,1,1,,-22.119651,-129.26012,-4.8746425
0.304,1,1,,-22.119573,-129.35847,-4.8743063
0.308,1,1,,-22.120533,-130.49245,-4.8739541
0.312,1,1,,-22.120157,-131.78289,-4.875055
0.316,1,1,,-22.1203,-131.37758,-4.8756957
0.32,1,1,,-22.121382,-131.42824,-4.8743522
0.324,1,1,,-22.121176,-131.71732,-4.8742968
0.328,1,1,,-22.120738,-133.70663,-4.8734391
0.332,1,1,,-22.122732,-135.56331,-4.8749298
0.336,1,1,,-22.122863,-137.83872,-4.8748267
0.34,1,1,,-22.124231,-140.04409,-4.8731446
0.344,1,1,,-22.12497,-142.98707,-4.8746729
0.348,1,1,,-22.125745,-145.52921,-4.8745453
0.352,1,1,,-22.127986,-148.97287,-4.8748624
0.356,1,1,,-22.128955,-152.61769,-4.8743457
0.36,1,1,,-22.129089,-156.00622,-4.8739296
0.364,1,1,,-22.129578,-159.733,-4.8754412
0.368,1,1,,-22.130832,-162.79817,-4.873684
0.372,1,1,,-22.133115,-166.84979,-4.8753589
0.376,1,1,,-22.133878,-170.71068,-4.8732793
0.38,1,1,,-22.134361,-173.79969,-4.8747689
0.384,1,1,,-22.135771,-176.89317,-4.8739231
0.388,1,1,,-22.137001,-182.46919,-4.8748976
0.392,1,1,,-22.137264,-185.76831,-4.8739451
0.396,1,1,,-22.138688,-189.20153,-4.8748684
0.4,1,1,,-22.139889,-192.01189,-4.8741841
0.404,1,1,,-22.139255,-193.49307,-4.8735696
0.408,1,1,,-22.139475,-193.12203,-4.8744291
0.412,1,1,,-22.140491,-194.60022,-4.8744303
0.416,1,1,,-22.139764,-194.88335,-4.8739094
0.42,1,1,,-22.139857,-195.18435,-4.8746669
0.424,1,1,,-22.140083,-196.51651,-4.8754472
0.428,1,1,,-22.139472,-198.45068,-4.8739523
0.432,1,1,,-22.140959,-201.48605,-4.8744947
0.436,1,1,,-22.141251,-205.11448,-4.8745489
0.44,1,1,,-22.142926,-211.26866,-4.8749566
0.444,1,1,,-22.143328,-220.53719,-4.873789
0.448,1,1,,-22.14534,-229.23797,-4.8745275
0.452,1,1,,-22.148151,-237.81359,-4.8744053
0.456,1,1,,-22.148544,-244.63087,-4.8746407
0.46,1,1,,-22.150669,-251.75661,-4.8745221
0.464,1,1,,-22.151304,-256.75446,-4.8757333
0.468,1,1,,-22.152236,-262.83264,-4.8757362
0.472,1,1,,-22.153282,-267.41326,-4.8749757
0.476,1,1,,-22.154853,-272.48859,-4.8742723
0.48,1,1,,-22.154594,-275.74748,-4.8741484
0.484,1,1,,-22.155926,-281.66622,-4.8739028
0.488,1,1,,-22.155786,-286.071,-4.8741013
0.492,1,1,,-22.155938,-290.31336,-4.8743004
0.496,1,1,,-22.157461,-294.95209,-4.8742288
0.5,1,1,,-22.158167,-298.92027,-4.8737484
0.504,1,1,,-22.15955,-302.78116,-4.8747003
0.508,1,1,,-22.160518,-305.18025,-4.8746866
0.512,1,1,,-22.159604,-308.30204,-4.8751962
0.516,1,1,,-22.159759,-309.6655,-4.8745948
0.52,1,1,,-22.161034,-311.22267,-4.8757106
0.524,1,1,,-22.161207,-313.70223,-4.8749757
0.528,1,1,,-22.161839,-316.33377,-4.8752451
0.532,1,1,,-22.162614,-319.72826,-4.8756534
0.536,1,1,,-22.162375,-325.47861,-4.8734325
0.54,1,1,,-22.163791,-329.0385,-4.8744148
0.544,1,1,,-22.163862,-335.41471,-4.8740125
0.548,1,1,,-22.164825,-342.43464,-4.8749757
0.552,1,1,,-22.167212,-351.31872,-4.8733252
0.556,1,1,,-22.167966,-360.90463,-4.874652
0.56,1,1,,-22.169066,-368.68006,-4.8743159
0.564,1,1,,-22.169999,-378.04842,-4.8739171
0.568,1,1,,-22.171414,-386.31409,-4.8749882
0.572,1,1,,-22.172669,-394.52761,-4.8742163
0.576,1,1,,-22.172487,-401.18247,-4.8744053
0.58,1,1,,-22.173855,-407.98038,-4.8741978
0.584,1,1,,-22.175548,-414.79617,-4.8761654
0.588,1,1,,-22.176713,-422.45835,-4.8748595
0.592,1,1,,-22.17834,-428.8584,-4.8738945
0.596,1,1,,-22.179249,-434.28838,-4.8728573
0.6,1,1,,-22.179535,-438.42345,-4.8747438
0.604,1,1,,-22.180537,-442.95639,-4.8752493
0.608,1,1,,-22.178772,-444.49717,-4.8738611
0.612,1,1,,-22.178975,-444.66108,-4.8731929
0.616,1,1,,-22.179154,-445.93066,-4.873777
0.62,1,1,,-22.180274,-446.88284,-4.8737586
0.624,1,1,,-22.179544,-448.23587,-4.873845
0.628,1,1,,-22.179219,-450.93149,-4.8745924
0.632,1,1,,-22.181309,-453.20392,-4.87387
0.636,1,1,,-22.181443,-459.18375,-4.8745382
0.64,1,1,,-22.18189,-468.14978,-4.8745018
0.644,1,1,,-22.182855,-479.19005,-4.8745412
0.648,1,1,,-22.18324,-491.46414,-4.8733592
0.652,1,1,,-22.186205,-502.33752,-4.8750073
0.656,1,1,,-22.186974,-512.63422,-4.8742861
0.66,1,1,,-22.188631,-524.29587,-4.8732007
0.664,1,1,,-22.189746,-535.39425,-4.8729485
0.668,1,1,,-22.19089,-545.65668,-4.8750073
0.672,1,1,,-22.191432,-553.71374,-4.874506
0.676,1,1,,-22.193498,-561.94663,-4.8745668
0.68,1,1,,-22.193894,-570.51331,-4.8741227
0.684,1,1,,-22.194517,-579.53894,-4.8746586
0.688,1,1,,-22.196573,-587.98343,-4.8742592
0.692,1,1,,-22.196433,-595.27606,-4.8746109
0.696,1,1,,-22.197962,-601.57627,-4.8747003
0.7,1,1,,-22.197503,-605.14063,-4.8744386
0.704,1,1,,-22.198725,-610.08632,-4.8738921
0.708,1,1,,-22.198487,-612.95927,-4.8746264
0.712,1,1,,-22.198934,-617.42365,-4.874047
0.716,1,1,,-22.200185,-620.61846,-4.8737168
0.72,1,1,,-22.199595,-623.57336,-4.8748082
0.724,1,1,,-22.200185,-627.68608,-4.8736155
0.728,1,1,,-22.201589,-631.48141,-4.8737741
0.732,1,1,,-22.201029,-636.42114,-4.8750675
0.736,1,1,,-22.201681,-641.95544,-4.8750883
0.74,1,1,,-22.203452,-649.58781,-4.8739535
0.744,1,1,,-22.20338,-660.06333,-4.8734188
0.748,1,1,,-22.205252,-669.80124,-4.8746037
0.752,1,1,,-22.205347,-680.5703,-4.8750263
0.756,1,1,,-22.207609,-691.67763,-4.8739803
0.76,1,1,,-22.208593,-704.32425,-4.8749363
0.764,1,1,,-22.209189,-716.94851,-4.8733014
0.768,1,1,,-22.210625,-728.11991,-4.8746842
0.772,1,1,,-22.211355,-740.11236,-4.873454
0.776,1,1,,-22.212231,-750.71454,-4.874084
0.78,1,1,,-22.213495,-761.55514,-4.8747557
0.784,1,1,,-22.214386,-771.26473,-4.873451
0.788,1,1,,-22.215405,-779.7882,-4.8747277
0.792,1,1,,-22.216413,-786.97205,-4.8745561
0.796,1,1,,-22.217161,-794.59846,-4.874438
0.8,1,1,,-22.217113,-800.83609,-4.8742926
0.804,1,1,,-22.217423,-806.40316,-4.8746365
0.808,1,1,,-22.218657,-811.5083,-4.8749059
0.812,1,1,,-22.220204,-816.98149,-4.8748183
0.816,1,1,,-22.21897,-818.6847,-4.8754042
0.82,1,1,,-22.220394,-821.40267,-4.8736739
0.824,1,1,,-22.219885,-823.53204,-4.8748618
0.828,1,1,,-22.221089,-827.51662,-4.8726177
0.832,1,1,,-22.221613,-831.31194,-4.8747933
0.836,1,1,,-22.221229,-837.41993,-4.872849
0.84,1,1,,-22.222805,-847.49758,-4.8749495
0.844,1,1,,-22.223452,-859.12496,-4.8734534
0.848,1,1,,-22.224263,-872.03085,-4.8742396
0.852,1,1,,-22.22561,-885.37931,-4.8742455
0.856,1,1,,-22.226641,-898.63241,-4.8738313
0.86,1,1,,-22.22738,-909.77252,-4.8737741
0.864,1,1,,-22.228185,-921.00799,-4.8757696
0.868,1,1,,-22.22986,-933.30294,-4.8745513
0.872,1,1,,-22.231931,-944.74852,-4.8744345
0.876,1,1,,-22.232685,-956.76184,-4.8742026
0.88,1,1,,-22.232864,-968.01221,-4.8741704
0.884,1,1,,-22.234217,-978.31041,-4.875254
0.888,1,1,,-22.234005,-988.2614,-4.8754531
0.892,1,1,,-22.236443,-998.24965,-4.8741317
0.896,1,1,,-22.237116,-1006.2039,-4.874655
0.9,1,1,,-22.237841,-1012.066,-4.8754257
0.904,1,1,,-22.23759,-1014.9866,-4.8745328
0.908,1,1,,-22.238109,-1018.5644,-4.8744363
0.912,1,1,,-22.239402,-1021.1214,-4.8749691
0.916,1,1,,-22.239113,-1022.5594,-4.8740399
0.92,1,1,,-22.239274,-1025.4726,-4.8738569
0.924,1,1,,-22.239903,-1030.162,-4.874261
0.928,1,1,,-22.240219,-1036.3251,-4.8743063
0.932,1,1,,-22.240883,-1045.692,-4.8739684
0.936,1,1,,-22.242102,-1055.8859,-4.8751521
0.94,1,1,,-22.24367,-1067.7919,-4.8738611
0.944,1,1,,-22.244639,-1082.246,-4.8757708
0.948,1,1,,-22.2444,-1096.7448,-4.87477
0.952,1,1,,-22.246829,-1110.8965,-4.8738736
0.956,1,1,,-22.247783,-1125.7261,-4.8746097
0.96,1,1,,-22.249282,-1138.3861,-4.8727173
0.964,1,1,,-22.249553,-1151.0417,-4.8749071
0.968,1,1,,-22.250372,-1164.1607,-4.8738652
0.972,1,1,,-22.251243,-1175.499,-4.8735446
0.976,1,1,,-22.252971,-1186.3306,-4.87427
0.98,1,1,,-22.253388,-1197.2234,-4.8745012
0.984,1,1,,-22.255242,-1209.2605,-4.8730266
0.988,1,1,,-22.255421,-1219.0089,-4.874177
0.992,1,1,,-22.25515,-1226.7008,-4.8741925
0.996,1,1,,-22.256258,-1232.9146,-4.8759294
1.,1,1,,-22.256199,-1238.9287,-4.874028
1.004,1,1,,-22.257582,-1245.5314,-4.8740757
1.008,1,1,,-22.259251,-1250.1284,-4.8733914
1.012,1,1,,-22.257522,-1254.6822,-4.8737216
1.016,1,1,,-22.259072,-1256.9621,-4.8737079
1.02,1,1,,-22.258661,-1259.6384,-4.8733783
1.024,1,1,,-22.259918,-1262.8451,-4.873808
1.028,1,1,,-22.260264,-1266.6255,-4.8749751
1.032,1,1,,-22.260571,-1273.936,-4.8747516
1.036,1,1,,-22.261387,-1282.7471,-4.8744333
1.04,1,1,,-22.26227,-1294.3938,-4.8745453
1.044,1,1,,-22.263784,-1308.6498,-4.8759943
1.048,1,1,,-22.263888,-1324.0933,-4.8744065
1.052,1,1,,-22.264621,-1339.3402,-4.8742735
1.056,1,1,,-22.26609,-1352.2297,-4.8740429
1.06,1,1,,-22.268638,-1364.477,-4.8757774
1.064,1,1,,-22.269625,-1377.0014,-4.8741633
1.068,1,1,,-22.269914,-1389.5169,-4.8737252
1.072,1,1,,-22.271064,-1401.0847,-4.8750794
1.076,1,1,,-22.271476,-1412.3425,-4.8739517
1.08,1,1,,-22.272703,-1422.8389,-4.875285
1.084,1,1,,-22.274685,-1434.6749,-4.8740464
1.088,1,1,,-22.273779,-1445.7747,-4.8753506
1.092,1,1,,-22.274277,-1457.5556,-4.8749566
1.096,1,1,,-22.275538,-1467.7569,-4.8753959
1.1,1,1,,-22.27808,-1477.091,-4.8738873
1.104,1,1,,-22.277135,-1484.561,-4.8743093
1.108,1,1,,-22.278297,-1491.9057,-4.8750746
1.112,1,1,,-22.278667,-1498.5681,-4.8736233
1.116,1,1,,-22.278887,-1504.4719,-4.8748612
1.12,1,1,,-22.278989,-1511.6781,-4.8740315
1.124,1,1,,-22.279904,-1517.0157,-4.8740137
1.128,1,1,,-22.280196,-1523.4753,-4.8754382
1.132,1,1,,-22.280777,-1531.221,-4.8753715
1.136,1,1,,-22.281781,-1540.6042,-4.8744845
1.14,1,1,,-22.282446,-1547.6808,-4.8741645
1.144,1,1,,-22.283742,-1556.1104,-4.8760188
1.148,1,1,,-22.284338,-1567.845,-4.8752618
1.152,1,1,,-22.284815,-1580.7882,-4.8758149
1.156,1,1,,-22.285831,-1596.1155,-4.8745221
1.16,1,1,,-22.287092,-1612.3012,-4.8741472
1.164,1,1,,-22.288782,-1631.2703,-4.8748571
1.168,1,1,,-22.288761,-1649.5615,-4.8751289
